"Name","Team","Shirt","Block","Block Error","Total Block"
"Ofana","InvGrp","1","8","5","15"
"Reardon Marc","TeamOne","4","5","2","9"
"Collins Josh","TeamOne","5","4","2","9"
"Khalil","Madawaska","8","3","1","5"
"Duncan-Thibault Alex","TeamOne","9","3","2","11"
"Woud","UnityM","9","3","1","6"
"Zeeman","Madawaska","10","3","0","4"
"Duncan-Thibault","TeamOne","9","3","1","4"
"Hunt","UnityM","5","2","2","6"
"Bramwell Terrell","UnityM","11","2","1","4"
"Milanodavic","UnityM","3","2","1","4"
"Battison","Madawaska","7","2","2","6"
"Woud Luke","UnityM","9","2","2","7"
