"Name","Team","Shirt","Percent","Kill","Error","Blocked","Total Attack"
"Hunt Taylor","TeamOne","10","0.74","19","0","2","23"
"Collins Josh","TeamOne","5","0.58","13","2","0","19"
"Coleman","InvGrp","9","0.55","14","0","2","22"
"Duncan-Thibault Alex","TeamOne","9","0.50","7","1","0","12"
"Kovalchuk","UnityM","10","0.46","15","1","3","24"
"Bramwell Terrell","UnityM","11","0.44","21","2","5","32"
"Kovalchuk Oleg","UnityM","10","0.42","8","2","1","12"
"Zeeman","Madawaska","10","0.40","11","2","1","20"
"Khalil","Madawaska","8","0.33","6","2","0","12"
"Szeto","Madawaska","1","0.29","7","2","1","14"
"Sim","UnityM","8","0.29","7","2","1","14"
