"Name","Team","Shirt","Percent Perfect","Error","Total Passes"
"Khalil","Madawaska","8","1.00","0","15"
"Sim","UnityM","8","1.00","0","1"
"Woud Luke","UnityM","9","1.00","0","1"
"Kovalchuk Oleg","UnityM","10","0.95","1","43"
"Szeto","Madawaska","1","0.92","0","12"
"Mantha","TeamOne","3","0.86","0","7"
"Mantha Jori","TeamOne","3","0.86","0","14"
"Kovalchuk","UnityM","10","0.76","0","17"
"Hunt","UnityM","5","0.76","0","21"
"Hunt Steve","UnityM","5","0.71","0","7"
"Ristic","InvGrp","12","0.60","2","20"
