"Name","Team","Shirt","Points","Serve","Block","Kill"
"Bramwell Terrell","UnityM","11","27","4","2","21"
"Hunt Steve","UnityM","5","21","1","1","19"
"Hunt Taylor","TeamOne","10","21","1","1","19"
"Bramwell","UnityM","11","19","4","2","13"
"Collins Josh","TeamOne","5","18","1","4","13"
"Kovalchuk","UnityM","10","17","2","0","15"
"Hunt","UnityM","5","15","2","2","11"
"Zeeman","Madawaska","10","15","1","3","11"
"Coleman","InvGrp","9","14","0","0","14"
"Ofana","InvGrp","1","13","0","8","5"
"Duncan-Thibault","TeamOne","9","13","0","3","10"
